period,start,end,approve,disapprove,no_opinion,president
2018 Feb 5-11,2018-02-05,2018-02-11,40,57,3,Trump
2018 Jan 29-Feb 4,2018-01-29,2018-02-04,40,57,3,Trump
2018 Jan 22-28,2018-01-22,2018-01-28,38,57,5,Trump
2018 Jan 15-21,2018-01-15,2018-01-21,36,59,5,Trump
2018 Jan 8-14,2018-01-08,2018-01-14,38,57,5,Trump
2018 Jan 1-7,2018-01-01,2018-01-07,37,58,4,Trump
2017 Dec 25-31,2017-12-25,2017-12-31,39,55,6,Trump
2017 Dec 18-24,2017-12-18,2017-12-24,37,57,6,Trump
2017 Dec 11-17,2017-12-11,2017-12-17,35,60,5,Trump
2017 Dec 4-10,2017-12-04,2017-12-10,36,59,5,Trump
2017 Nov 27-Dec 3,2017-11-27,2017-12-03,35,59,5,Trump
2017 Nov 20-26,2017-11-20,2017-11-26,37,56,7,Trump
2017 Nov 13-19,2017-11-13,2017-11-19,38,57,6,Trump
2017 Nov 6-12,2017-11-06,2017-11-12,38,56,6,Trump
2017 Oct 30-Nov 5,2017-10-30,2017-11-05,38,58,5,Trump
2017 Oct 23-29,2017-10-23,2017-10-29,35,60,5,Trump
2017 Oct 16-22,2017-10-16,2017-10-22,36,58,6,Trump
2017 Oct 9-15,2017-10-09,2017-10-15,37,57,6,Trump
2017 Oct 2-8,2017-10-02,2017-10-08,38,56,6,Trump
2017 Sep 25-Oct 1,2017-09-25,2017-10-01,37,58,5,Trump
2017 Sep 18-24,2017-09-18,2017-09-24,38,55,6,Trump
2017 Sep 11-17,2017-09-11,2017-09-17,38,57,6,Trump
2017 Sep 4-10,2017-09-04,2017-09-10,37,57,6,Trump
2017 Aug 28-Sep 3,2017-08-28,2017-09-03,36,59,6,Trump
2017 Aug 21-27,2017-08-21,2017-08-27,35,60,5,Trump
2017 Aug 14-20,2017-08-14,2017-08-20,37,58,6,Trump
2017 Aug 7-13,2017-08-07,2017-08-13,36,58,6,Trump
2017 Jul 31-Aug 6,2017-07-31,2017-08-06,37,58,5,Trump
2017 Jul 24-30,2017-07-24,2017-07-30,38,57,5,Trump
2017 Jul 17-23,2017-07-17,2017-07-23,37,58,5,Trump
2017 Jul 10-16,2017-07-10,2017-07-16,39,56,6,Trump
2017 Jul 3-9,2017-07-03,2017-07-09,38,57,5,Trump
2017 Jun 26-Jul 2,2017-06-26,2017-07-02,39,56,5,Trump
2017 Jun 19-25,2017-06-19,2017-06-25,39,56,5,Trump
2017 Jun 12-18,2017-06-12,2017-06-18,38,57,6,Trump
2017 Jun 5-11,2017-06-05,2017-06-11,37,58,5,Trump
2017 May 29-Jun 4,2017-05-29,2017-06-04,38,56,6,Trump
2017 May 22-28,2017-05-22,2017-05-28,41,54,5,Trump
2017 May 15-21,2017-05-15,2017-05-21,38,56,6,Trump
2017 May 8-14,2017-05-08,2017-05-14,38,56,6,Trump
2017 May 1-7,2017-05-01,2017-05-07,42,53,6,Trump
2017 Apr 24-30,2017-04-24,2017-04-30,41,54,5,Trump
2017 Apr 17-23,2017-04-17,2017-04-23,41,52,7,Trump
2017 Apr 10-16,2017-04-10,2017-04-16,40,54,6,Trump
2017 Apr 3-9,2017-04-03,2017-04-09,40,53,7,Trump
2017 Mar 27-Apr 2,2017-03-27,2017-04-02,38,57,5,Trump
2017 Mar 20-26,2017-03-20,2017-03-26,39,56,6,Trump
2017 Mar 13-19,2017-03-13,2017-03-19,40,55,5,Trump
2017 Mar 6-12,2017-03-06,2017-03-12,42,52,6,Trump
2017 Feb 27-Mar 5,2017-02-27,2017-03-05,43,51,6,Trump
2017 Feb 20-26,2017-02-20,2017-02-26,42,53,5,Trump
2017 Feb 13-19,2017-02-13,2017-02-19,40,54,5,Trump
2017 Feb 6-12,2017-02-06,2017-02-12,41,53,6,Trump
2017 Jan 30-Feb 5,2017-01-30,2017-02-05,43,52,5,Trump
2017 Jan 20-29,2017-01-20,2017-01-29,45,47,8,Trump
